2026-03-17T19:39:01.931086 | frame=27 | x=319 y=239 | area=80901
2026-03-17T19:39:02.457175 | frame=43 | x=319 y=239 | area=85964
2026-03-17T19:39:02.962593 | frame=43 | x=319 y=239 | area=85964
2026-03-17T19:39:03.489682 | frame=58 | x=319 y=239 | area=85102
2026-03-17T19:39:03.990896 | frame=58 | x=319 y=239 | area=85102
2026-03-17T19:39:04.518775 | frame=74 | x=319 y=239 | area=82961
2026-03-17T19:39:05.024356 | frame=74 | x=319 y=239 | area=82961
2026-03-17T19:39:05.546450 | frame=89 | x=319 y=239 | area=83084
2026-03-17T19:39:06.050585 | frame=89 | x=319 y=239 | area=83084
2026-03-17T19:39:06.576558 | frame=105 | x=319 y=239 | area=83374
2026-03-17T19:39:07.080706 | frame=105 | x=319 y=239 | area=83374
2026-03-17T19:39:07.609981 | frame=120 | x=319 y=239 | area=84237
2026-03-17T19:39:08.115536 | frame=120 | x=319 y=239 | area=84237
2026-03-17T19:39:08.643266 | frame=15 | x=319 y=239 | area=81466
2026-03-17T19:39:09.147465 | frame=15 | x=319 y=239 | area=81466
2026-03-17T19:39:09.673387 | frame=30 | x=319 y=239 | area=81927
2026-03-17T19:39:10.177919 | frame=30 | x=319 y=239 | area=81927
2026-03-17T19:39:10.706756 | frame=45 | x=319 y=239 | area=80113
2026-03-17T19:40:13.484613 | frame=1 | x=322 y=251 | area=5394
2026-03-17T19:40:13.989496 | frame=1 | x=322 y=251 | area=5394
2026-03-17T19:40:14.515703 | frame=2 | x=322 y=251 | area=5196
2026-03-17T19:40:15.019251 | frame=2 | x=322 y=251 | area=5196
2026-03-17T19:40:15.549116 | frame=3 | x=322 y=309 | area=5194
2026-03-17T19:40:16.052793 | frame=3 | x=322 y=309 | area=5194
2026-03-17T19:40:16.581519 | frame=4 | x=321 y=315 | area=5195
2026-03-17T19:40:17.083232 | frame=4 | x=321 y=315 | area=5195
2026-03-17T19:40:17.610221 | frame=14 | x=323 y=250 | area=4591
2026-03-17T19:40:18.115787 | frame=14 | x=323 y=250 | area=4591
2026-03-17T19:40:18.644023 | frame=29 | x=321 y=278 | area=4433
2026-03-17T19:40:19.146680 | frame=29 | x=321 y=278 | area=4433
2026-03-17T19:40:19.675322 | frame=44 | x=325 y=263 | area=1610
2026-03-17T19:40:20.179307 | frame=44 | x=325 y=263 | area=1610
2026-03-17T19:40:20.706317 | frame=59 | x=464 y=275 | area=745
2026-03-17T19:40:21.208703 | frame=59 | x=464 y=275 | area=745
2026-03-17T19:40:21.733697 | frame=74 | x=488 y=385 | area=1036
2026-03-17T19:40:22.238216 | frame=74 | x=488 y=385 | area=1036
2026-03-17T19:40:22.765815 | frame=91 | x=492 y=281 | area=657
2026-03-17T19:40:23.270986 | frame=91 | x=492 y=281 | area=657
2026-03-17T19:40:23.794480 | frame=106 | x=409 y=252 | area=995
2026-03-17T19:40:24.294988 | frame=106 | x=409 y=252 | area=995
2026-03-17T19:40:24.820322 | frame=1 | x=444 y=383 | area=1117
2026-03-17T19:40:25.325501 | frame=1 | x=444 y=383 | area=1117
2026-03-17T19:40:25.851936 | frame=16 | x=395 y=252 | area=702
2026-03-17T19:40:26.352917 | frame=16 | x=395 y=252 | area=702
2026-03-17T19:40:26.877818 | frame=32 | x=405 y=251 | area=671
2026-03-17T19:40:27.379005 | frame=32 | x=405 y=251 | area=671
2026-03-17T19:40:27.902817 | frame=47 | x=407 y=253 | area=1014
